               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.028492,            0.020511,                   0,             0.82741,             0.66142,             0.77124,             0.44235,             0.03568,            0.017834,                   0,            0.004984,            0.004984,            0.004984
                  40,            0.027995,            0.021171,                   0,             0.67858,             0.70079,              0.7518,             0.44358,            0.034929,            0.017355,                   0,            0.004852,            0.004852,            0.004852
                  41,            0.028311,            0.021683,                   0,             0.76854,             0.67977,             0.76553,             0.44052,            0.034691,            0.016858,                   0,             0.00472,             0.00472,             0.00472
                  42,             0.02876,            0.021972,                   0,             0.75509,             0.75066,             0.79227,             0.46403,            0.034001,            0.016109,                   0,            0.004588,            0.004588,            0.004588
                  43,            0.027837,            0.024035,                   0,             0.66758,             0.72703,             0.75906,             0.43698,            0.035498,            0.016686,                   0,            0.004456,            0.004456,            0.004456
                  44,            0.026179,            0.019559,                   0,              0.7698,             0.67979,             0.76264,             0.44692,            0.035505,            0.017498,                   0,            0.004324,            0.004324,            0.004324
                  45,            0.028769,            0.023268,                   0,             0.73585,             0.68766,             0.76899,             0.45336,            0.035285,            0.017142,                   0,            0.004192,            0.004192,            0.004192
                  46,            0.026313,            0.019621,                   0,             0.67784,             0.71791,              0.7652,             0.45787,            0.033933,            0.016885,                   0,             0.00406,             0.00406,             0.00406
                  47,            0.027361,             0.02249,                   0,             0.80557,             0.65248,             0.78177,             0.45729,            0.033927,            0.016985,                   0,            0.003928,            0.003928,            0.003928
                  48,            0.025317,            0.019741,                   0,             0.74649,             0.73422,             0.78527,             0.46072,            0.033895,            0.017221,                   0,            0.003796,            0.003796,            0.003796
                  49,            0.025446,            0.019003,                   0,             0.74145,             0.73228,             0.79003,             0.46325,            0.033809,            0.017069,                   0,            0.003664,            0.003664,            0.003664
                  50,             0.02641,            0.020265,                   0,             0.72442,             0.75591,             0.78866,             0.46211,            0.033828,             0.01738,                   0,            0.003532,            0.003532,            0.003532
